block,bin,mining_area,pit_name,bench_rl,tonnes_wt,pot_ore_wt,pot_ore_dt,hg_l_wt,hg_l_dt,hg_l_fe,hg_f_wt,hg_f_dt,hg_f_fe,lg_l_wt,lg_l_dt,lg_l_fe,lg_f_wt,lg_f_dt,lg_f_fe
82,54,Tata,msp1s2,1200,0.041299734,0.041299734,0.038408752,0.01513508,0.014302651,59.25042678,0.026636576,0.024106101,54.23483197,0.013236049,0.012441886,61.44797106,0.016705538,0.014700873,88.93283455
83,59,Tata,msp1s2,1200,0.02491579,0.02491579,0.023670001,0.009229565,0.008814235,62.68408618,0.016060288,0.014855766,59.80622591,0.008591327,0.008075848,63.48619025,0.011357476,0.009994578,88.89492415
84,60,Tata,msp1s2,1200,0.196791674,0.196791674,0.183016257,0.072118088,0.068151593,58.9319729,0.12692228,0.114864664,53.71811425,0.062760212,0.0589946,61.25987115,0.078836353,0.069375991,88.94018028
85,61,Tata,msp1s2,1200,0.052346105,0.052346105,0.048681877,0.019183235,0.018128157,60.29469815,0.033761017,0.03055372,55.92924984,0.017046751,0.016023946,62.06806864,0.021839826,0.019219047,88.91422524
86,63,Tata,msp1s2,1200,0.118051456,0.118051456,0.11081563,0.043465782,0.041265524,61.88601357,0.076118916,0.069550106,58.51128951,0.039747027,0.037362206,63.01388697,0.052018877,0.045776612,88.8983753
87,64,Tata,msp1s2,1200,0.063215057,0.063215057,0.058790003,0.023166371,0.021892221,59.5509031,0.04077103,0.036897782,54.72237819,0.020353534,0.019132322,61.62709484,0.025801741,0.022705532,88.92697808
88,10,Tata,msp1s3,1190,0.568667449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,30,Tata,msp1s3,1190,0.006126344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,51,Tata,msp1s3,1190,0.066039922,0.066039922,0.063068125,0.02507803,0.024325689,58.57714905,0.040997287,0.038742436,56.51258302,0.018022403,0.017301507,62.00531959,0.023762727,0.021386454,102.3748552
91,60,Tata,msp1s3,1190,0.020398522,0.020398522,0.018970625,0.00747543,0.007064281,58.86701132,0.013156181,0.011906344,53.61270986,0.006498941,0.006109005,61.22316856,0.008155591,0.00717692,88.94224427
92,61,Tata,msp1s3,1190,0.077901213,0.077901213,0.072448128,0.028548395,0.026978234,60.25563435,0.050242977,0.045469894,55.86586256,0.025353802,0.023832574,62.04486162,0.032464875,0.02856909,88.91479802
93,64,Tata,msp1s3,1190,0.227262106,0.227262106,0.211353759,0.083284563,0.078703912,60.25588066,0.146574416,0.132649847,55.86626361,0.073965263,0.069527347,62.04519344,0.094710782,0.083345488,88.91484673
94,10,Tata,msp1s3,1180,0.084251244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,51,Tata,msp1s3,1180,0.100610602,0.100610602,0.096083125,0.038326456,0.037176662,58.39910642,0.062334882,0.058906463,56.28839201,0.027345492,0.026251672,61.91907667,0.035930769,0.032337692,102.5351495
96,60,Tata,msp1s3,1180,0.006244624,0.006244624,0.0058075,0.002288462,0.002162597,58.26562731,0.004027518,0.003644904,52.63691001,0.001971012,0.001852752,60.86281451,0.002450839,0.002156738,88.95677528
97,64,Tata,msp1s3,1180,0.337327972,0.337327972,0.313715014,0.123620314,0.116821196,60.27298166,0.217562229,0.196893818,55.89401341,0.109815973,0.103227014,62.05482974,0.140650851,0.123772749,88.91444823
98,51,Tata,msp1s3,1170,0.115105367,0.115105367,0.109925625,0.043880926,0.042564498,58.35976403,0.071281616,0.067361127,56.23300949,0.031257041,0.030006759,61.89721154,0.041032223,0.036929001,102.5730133
99,64,Tata,msp1s3,1170,0.046194894,0.046194894,0.042961252,0.016929006,0.015997911,60.17922791,0.029793747,0.026963341,55.74188664,0.015017116,0.014116089,61.99901224,0.01920851,0.016903489,88.91581459
100,10,BW,s10w1,1090,0.006085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,30,BW,s10w1,1090,0.004623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,30,BW,s10w1,1100,0.001981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,10,BW,s10w1,1120,0.176405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,30,BW,s10w1,1120,0.043032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,10,BW,s10w1,1130,0.487357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,30,BW,s10w1,1130,0.066029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,10,BW,s10w1,1140,0.207939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,30,BW,s10w1,1140,0.081471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,10,BW,s10w1,1150,0.040489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,30,BW,s10w1,1150,0.004226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,10,BW,s10w1,1160,0.01546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,10,BW,s10w1,1170,0.003871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,10,BW,s10w2,1090,0.175966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,30,BW,s10w2,1090,0.017461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,10,BW,s10w2,1100,0.133732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,30,BW,s10w2,1100,0.00545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,10,BW,s10w2,1110,0.111332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,30,BW,s10w2,1110,0.077514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,10,BW,s10w2,1120,1.458117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,30,BW,s10w2,1120,0.12926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,10,BW,s10w2,1130,0.911914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,30,BW,s10w2,1130,0.018427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,10,BW,s10w2,1140,0.876842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,30,BW,s10w2,1140,0.015959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,10,BW,s10w2,1150,0.588033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,30,BW,s10w2,1150,0.008442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,10,BW,s10w2,1160,0.677875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
